127.0.0.1 - - [08/Aug/2024:14:17:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:17:41 +0900] "GET /hello.html HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:17:41 +0900] "GET /hello.html HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:17:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:18:03 +0900] "GET /HTML/html/exam03-ul.html HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:18:39 +0900] "GET /HTML/html/exam14-inline_level HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:18:47 +0900] "GET /HTML/html/exam14-inline_block HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:19:03 +0900] "GET /HTML/html/exam14-inline_block.html HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:20:06 +0900] "GET /HTML/html/exam15 HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:20:12 +0900] "GET /HTML/html/exam15.html HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:23:04 +0900] "GET /HTML/html/exam15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:23:08 +0900] "GET /HTML/html/exam15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:23:28 +0900] "GET /HTML/html/exam15.html HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:30:25 +0900] "GET /HTML/html/exam15.html HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:35:20 +0900] "GET /HTML/html/exam16.html HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:47:43 +0900] "GET /HTML/html/exam18.html HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [08/Aug/2024:14:47:46 +0900] "GET /HTML/html/exam17.html HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:12 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:28 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:30 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:30 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:30 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:34 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:34 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:35 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:35 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:35 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:36 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:37 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:37 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:37 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:37 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:40 +0900] "GET /HTML/html/exam19.html HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [08/Aug/2024:15:15:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
